County,"SELPA 
Code","SELPA
Name",SELPA Website,SELPA Mailing Address,City,Zip Code,SELPA Phone Number
Napa,2800,Napa County  ,Napa County SELPA,2121 Imola Avenue,Napa,94559,707-253-6808
Nevada,2900,Nevada County  ,Nevada County Superintendent of Schools SELPA,380 Crown Point Circle,Grass Valley,95945,530-478-6400 x 2046
Orange,3001,North Orange County,North Orange County SELPA,"1021 West Bastanchury Road, Suite 161",Fullerton,92833,"714-641-5401 (direct)
714-641-5400 (main office)"
Orange,3002,South Orange County,South Orange County SELPA,25631 Peter Hartman Way,Mission Viejo,92691,949-580-3394
Orange,3011,Anaheim City,Anaheim Elementary School District SELPA,1001 South East Street,Anaheim,92805-5749,714-517-7525 x 4120
Orange,3012,Garden Grove Unified,Garden Grove Unified School District Special Education,10331 Stanford Avenue,Garden Grove,92840,714-663-6233
Orange,3013,Greater Anaheim,Greater Anaheim SELPA,"7300 La Palma Avenue, Building 6",Buena Park,90620,714-796-8963
Orange,3014,Irvine Unified,Irvine Unified School District Special Education,5050 Barranca Parkway,Irvine,92604,949-936-5234
Orange,3015,Newport-Mesa Unified,Newport-Mesa Unified School District Special Education,2985 Bear Street,Costa Mesa,92626,"714-424-8926 (direct)
714-424-5058 (main office)"
Orange,3016,Northeast Orange County,Northeast Orange County SELPA,1301 E. Orangethorpe Avenue,Placentia,92870,714-985-8710
Orange,3017,Orange Unified,Orange Unified School District Special Education,1401 North Handy Street,Orange,92867,714-628-5550
Orange,3018,Santa Ana Unified,Santa Ana Unified School District Special Education,1601 East Chestnut Avenue,Santa Ana,92701-6322,714-558-5832
Orange,3019,Tustin Unified,Tustin Unified School District Special Education,300 South C Street,Tustin,92780,714-730-7301 x 336
Orange,3020,West Orange County Consortium,West Orange County Consortium for Special Education,5832 Bolsa Avenue,Huntington Beach,92649,"714-903-7000 x 504410 (direct)
x 504602 (main office)"
Orange,3021,Capistrano Unified,Capistrano Unified School District Special Education,33122 Valle Road,San Juan Capistrano,92675,949-234-9275
Placer,3100,Placer County,Placer County SELPA,360 Nevada Street,Auburn,95603,530-886-5873
Plumas,3200,Plumas County,Plumas County SELPA,50 Church Street,Quincy,95971,530-283-6500 x 5300
Riverside,3301,Riverside County,Riverside County SELPA,2935 Indian Avenue,Perris,92571,951-490-0375
Riverside,3311,Corona-Norco Unified,Corona-Norco Unified School District Special Education,2820 Clark Avenue,Norco,92860,951-736-5090
Riverside,3312,Riverside Unified,Riverside Unified School District Special Education,5700 Arlington Avenue,Riverside,92504,951-352-1200 x 83503
Riverside,3313,Moreno Valley Unified,Moreno Valley Unified School District Special Education,25634 Alessandro Boulevard,Moreno Valley,92553,951-571-7500 x 17282
Riverside,3314,Temecula Valley Unified,Temecula Valley Unified School District SELPA,31350 Rancho Vista Road,Temecula,92592,951-506-7086
Sacramento,3401,Sacramento County,Sacramento County SELPA, P.O. Box 269003,Sacramento,95826,916-228-2447
Sacramento,3411,Elk Grove Unified,Elk Grove Unified SELPA,9510 Elk Grove-Florin Road,Elk Grove,95624-1801,916-686-7780
Sacramento,3412,Sacramento City Unified,Sacramento City Unified School District Special Education,5735 47th Avenue,Sacramento,95824,916-643-9163
Sacramento,3413,San Juan Unified  ,San Juan Unified School District Special Education,3738 Walnut Avenue,Carmichael,95608,916-971-7525
Sacramento,3414,Folsom-Cordova Unified,Folsom Cordova Unified School District Special Education,1965 Birkmont Drive,Rancho Cordova,95742,916-294-9007 x 102410
Sacramento,3415,Twin Rivers Unified,Twin Rivers Unified School District SELPA,3222 Winona Way,North Highlands,95660,916-566-1617 x 33303
Sacramento,3416,Natomas Unified,Natomas Unified School District SELPA,1901 Arena Boulevard,Sacramento,95834,916-567-5434
Sacramento,7100,California State Special Schools,California State Special Schools,"1430 N Street, Suite 1201",Sacramento,95814,916-327-3860
Sacramento,7200,California Department of Corrections and Rehabilitation (CDCR) - Division of Juvenile Justice,CDCR - Division of Juvenile Justice,"P.O. Box 588500
8260 Longleaf Drive, Building C, Suite 203",Elk Grove,95758,"916-683-7756 (direct)
916-683-7755 (main office)
916-683-7754 (Stacy)"
Sacramento,7300,California Department of Developmental Services,California Department of Developmental Services,"1215 O Street, MS 6-10",Sacramento,95814,916-654-1555
Sacramento,7400,California Department of State Hospitals,California Department of State Hospitals,"1600 9th Street, Room 340, MS 3-17",Sacramento,95814,916-653-4109 (direct)
San Benito,3500,San Benito County  ,San Benito County SELPA,460 Fifth Street,Hollister,95023,831-637-5393 x 112
San Bernardino,3601,Desert/Mountain ,Desert Mountain SELPA,17800 Highway 18,Apple Valley,92307-1221,760-955-3555
San Bernardino,3602,East Valley Consortium,East Valley SELPA,670 E. Carnegie Drive,San Bernardino,92408,909-252-4507
San Bernardino,3603,West End  ,West End SELPA,"8265 Aspen Avenue, Suite 200",Rancho Cucamonga,91730,909-476-6131
San Bernardino,3611,Morongo Unified  ,Morongo Unified School District SELPA,P.O. Box 1209,Twentynine Palms,92277,760-367-9191 x 4230
San Bernardino,3612,San Bernardino City Unified  ,San Bernardino City Unified School District Special Education,1535 W. Highland Avenue,San Bernardino,92411,909-880-6863
San Bernardino,3613,Fontana Unified  ,Fontana Unified SELPA,"9680 Citrus Avenue, #33",Fontana,92335,909-357-7600 x 29378
San Bernardino,3614,Ontario-Montclair,Ontario-Montclair School District SELPA,950 West D Street,Ontario,91762,909-418-6577
San Bernardino,3651,Desert/Mountain Charter ,Desert Mountain Charter SELPA,17800 Highway 18,Apple Valley,92307,760-955-3556
San Diego,3701,East County  ,East County SELPA,924 East Main Street,El Cajon,92021,619-590-3920 (direct)
San Diego,3702,North Coastal Consortium,North Coastal Consortium SELPA,"255 Pico Avenue, Suite 101/Room 22",San Marcos,92069,760-307-1486
San Diego,3703,North Inland  ,North Inland SELPA,1710 Montecito Road,Ramona,92065,760-788-4671
San Diego,3704,South County  ,South County SELPA,"800 National City Boulevard, Suite 202",National City,91950,619-470-5224
San Diego,3711,Poway Unified  ,Poway Unified School District Special Education,15250 Avenue of Science,San Diego,92128,858-521-2822
San Diego,3712,San Diego Unified  ,San Diego Unified School District Special Education,"4100 Normal Street, Annex 6a",San Diego,92103,"619-725-7389 (direct)
619-725-7700 (main office)"
San Francisco,3800,San Francisco Unified  ,San Francisco Unified School District Special Education,3045 Santiago Street,San Francisco,94116,415-759-2240
San Joaquin,3901,San Joaquin County  ,San Joaquin County SELPA,P.O. Box 213030,Stockton,95213-9030,209-468-4925
San Joaquin,3911,Lodi Area,Lodi Unified School District Special Education,1305 East Vine Street,Lodi,95240,209-331-7062
San Joaquin,3912,Stockton Unified,Stockton Unified Special Education,1800 South Sutter Street,Stockton,95210,209-933-7120 x 2578
San Luis Obispo,4000,San Luis Obispo County  ,San Luis Obispo County SELPA,8005 Morro Road,Atascadero,93422,805-782-7329
San Mateo,4100,San Mateo County  ,San Mateo County SELPA,101 Twin Dolphin Drive,Redwood City,94065-1064,650-802-5465
Santa Barbara,4200,Santa Barbara County  ,Santa Barbara County SELPA,"5385 Hollister Avenue, Box 107",Santa Barbara,93111,805-683-1424
Santa Clara,4310,Santa Clara North West,Santa Clara North West SELPA,1290 Ridder Park Drive - MC 277,San Jose,95131-2398,408-453-6566
Santa Clara,4311,Santa Clara South East,South East SELPA,3434 Marten Avenue,San Jose,95148,408-223-3776
Santa Cruz,4401,North Santa Cruz County  ,North Santa Cruz County SELPA,400 Encinal Street,Santa Cruz,95060-2115,831-466-5701
Santa Cruz,4411,Pajaro Valley Joint Unified  ,Pajaro Valley Unified School District Special Services Department,294 Green Valley Road,Watsonville,95076,831-786-2130
Shasta,4500,Shasta County  ,Shasta County SELPA,1524 Magnolia Avenue,Redding,96001-1513,530-225-0100
Sierra,4600,Sierra County  ,Sierra County SELPA,"109 Beckwith Road
P.O. Box 955 ",Loyalton,96118,530-993-1660 x 170
Siskiyou,4700,Siskiyou County  ,Siskiyou County Special Schools and Services,609 South Gold Street,Yreka,96097,530-842-8441
Solano,4801,Solano County  ,Solano County SELPA,5100 Business Center Drive,Fairfield,94534,707-399-4461
Solano,4811,Vallejo City Unified  ,Vallejo City Unified School District Special Education,665 Walnut Avenue,Vallejo,94592,707-556-8921 x 50158
Sonoma,4900,Sonoma County  ,Sonoma County SELPA,5860 Labath Avenue,Rohnert Park,94928,707-524-2752
Sonoma,4951,Sonoma County Charter,Sonoma County Charter SELPA,5860 Labath Avenue,Rohnert Park,94928,707-524-2752
Stanislaus,5001,Stanislaus County  ,Stanislaus County SELPA,1325 Celeste Drive,Modesto,95354,209-238-6551
Stanislaus,5011,Modesto City Schools  ,Modesto City Schools Special Education,426 Locust Street,Modesto,95351,209-492-1789
Sutter,5100,Sutter County  ,Sutter County SELPA,970 Klamath Lane,Yuba City,95993,530-822-2910
Tehama,5200,Tehama County  ,Tehama County SELPA,900 Palm Street,Red Bluff,96080,530-527-8614
Trinity,5300,Trinity County  ,Trinity County SELPA,P.O. Box 1256,Weaverville,96093,530-623-2861
Tulare,5400,Tulare County  ,Tulare County SELPA,P.O. Box 5091,Visalia,93278-5091,559-730-2910 x 5120
Tuolumne,5500,Tuolumne County  ,Tuolumne County SELPA,175 Fairview Lane,Sonora,95370-4859,209-536-2087
Ventura,5600,Ventura County  ,Ventura County SELPA,5100 Adolfo Road,Camarillo,93012,"805-437-1561 (direct)
805-437-1560 (main office)"
Yolo,5700,Yolo County  ,Yolo County SELPA,"1280 Santa Anita Court, Suite 150",Woodland,95776,530-668-3787
Yuba,5800,Yuba County  ,Yuba County SELPA,935 14th Street,Marysville,95901-4198,530-749-4873
